,ID,version,timelog,task,response
9,103,keys,0.60248208,object,box
10,103,keys,0.599899292,object,candle
11,103,keys,0.58868885,color,red
0,104,keys,0.662482977,color,error_objcolor
4,104,keys,0.578922987,color,pink
8,104,keys,0.582213879,object,candle
16,104,keys,0.574868917,object,error_object
17,104,keys,0.594981909,color,error_objcolor
18,104,keys,0.562100887,color,pink
20,104,keys,0.599281788,object,ornament
38,104,keys,0.580574989,color,white
47,104,keys,0.585817099,color,red
58,104,keys,0.602946997,object,candle
63,104,keys,0.605523109,color,error_color
67,104,keys,0.601206064,object,ornament
73,104,keys,0.58736515,color,pink
88,104,keys,0.567420006,object,knife
91,104,keys,0.597829103,color,grey
99,104,keys,0.578809023,object,box
106,104,keys,0.592354059,color,pink
108,104,keys,0.586630106,color,error_objcolor
128,104,keys,0.588321209,color,red
129,104,keys,0.580914974,color,green
152,104,keys,0.578658104,object,box
159,104,keys,0.579788208,object,knife
0,104,speech,0.663840055,color,error_color
,104,speech,,,error_object
1,104,speech,0.581616879,object,tablet
2,104,speech,0.57148385,color,orange
,104,speech,,,error_object
3,104,speech,0.569824934,object,tongs
,104,speech,,,error_objcolor
4,104,speech,0.562705278,color,error_color
5,104,speech,0.557503939,object,soap
6,104,speech,0.556318283,color,green
7,104,speech,0.5674119,object,error_object
,104,speech,,,error_objcolor
,104,speech,,,error_objcolor
8,104,speech,0.552620888,object,calculator
10,104,speech,0.555235863,color,orange
11,104,speech,0.560308933,object,ball
12,104,speech,0.55564189,color,green
13,104,speech,0.553637028,object,ball
,104,speech,,,error_objcolor
,104,speech,,,error_objcolor
,104,speech,,,error_object
,104,speech,,,error_object
,104,speech,,,error_speech
18,104,speech,0.5490942,color,white
19,104,speech,0.560363054,object,tablet
0,105,speech,0.622745752,object,soap
1,105,speech,0.564022779,object,pencil case
2,105,speech,0.567358971,object,error_gesture
,105,speech,,,error_object
3,105,speech,0.566715956,object,calculator
4,105,speech,0.568342924,object,ball
,105,speech,,,error_speech
5,105,speech,0.573728085,color,orange
,105,speech,,,error_gesture
,105,speech,,,error_object
6,105,speech,0.5587852,object,tablet
,105,speech,,,error_objcolor
,105,speech,,,error_speech
7,105,speech,0.579530954,object,ball
8,105,speech,0.574388981,color,green
,105,speech,,,error_speech
9,105,speech,0.568105936,color,indigo
10,105,speech,0.570616961,object,error_object
11,105,speech,0.578292131,object,error_object
12,105,speech,0.606865883,object,error_object
13,105,speech,0.56554985,object,error_object
16,105,speech,0.570854187,object,pen
17,105,speech,0.561993837,object,tongs
0,105,keys,0.765452862,color,red
1,105,keys,0.614619017,object,knife
,105,keys,,,error_gesture
8,105,keys,0.594898939,color,pink
9,105,keys,0.626289129,object,candle
10,105,keys,0.599040031,color,red
11,105,keys,0.585227966,object,candle
13,105,keys,0.650341988,color,pink
,106,keys,,,error_object
6,106,keys,0.705546141,color,red
16,106,keys,0.70581913,object,candle
22,106,keys,0.736528873,object,ornament
28,106,keys,0.725411892,object,candle
35,106,keys,0.766005754,color,pink
40,106,keys,0.737628937,color,error_color
47,106,keys,0.725962877,object,ornament
51,106,keys,0.725347996,object,error_gesture
52,106,keys,0.722258091,object,knife
,106,keys,,,error_gesture
54,106,keys,0.732211351,color,pink
57,106,keys,0.717539072,color,white
62,106,keys,0.73566103,color,error_color
67,106,keys,0.714751005,color,red
73,106,keys,0.725772142,object,knife
,106,speech,,,error_object
0,106,speech,0.808642864,object,tablet
,106,speech,,,error_color
,106,speech,,,error_color
1,106,speech,0.72871995,color,white
2,106,speech,0.714552879,object,tablet
3,106,speech,0.758062124,color,indigo
4,106,speech,0.770077944,object,ball
5,106,speech,0.753172159,color,orange
,106,speech,,,error_object
,106,speech,,,error_object
6,106,speech,0.692953825,object,soap
,106,speech,,,error_object
7,106,speech,0.723479033,object,pencil case
8,106,speech,0.754148245,object,ball
,106,speech,,,error_gesture
,106,speech,,,error_objcolor
9,106,speech,0.800265074,color,green
0,107,keys,0.818473101,color,pink
22,107,keys,0.747643948,object,ornament
35,107,keys,0.720970154,color,red
36,107,keys,0.73367691,object,candle
,107,keys,,,error_gesture
46,107,keys,0.742370129,color,red
50,107,keys,0.728190899,object,ornament
61,107,keys,0.726638079,color,green
62,107,keys,0.723903179,color,error_objcolor
64,107,keys,0.745647907,color,green
,107,keys,,,error_object
77,107,keys,0.728735924,object,box
83,107,keys,0.757873058,color,error_color
87,107,keys,0.736045122,object,knife
90,107,keys,0.766862154,color,error_color
102,107,keys,0.732254982,color,red
103,107,keys,0.739214897,object,candle
0,107,speech,0.878279924,color,white
1,107,speech,0.750635862,object,pencil case
,107,speech,,,error_speech
,107,speech,,,error_speech
2,107,speech,0.763156176,color,green
3,107,speech,0.771751881,object,soap
,107,speech,,,error_gesture
,107,speech,,,error_object
4,107,speech,0.759557962,object,tongs
6,107,speech,0.758690834,object,ball
,107,speech,,,error_speech
7,107,speech,0.73470211,color,orange
8,107,speech,0.773195744,object,tablet
11,107,speech,0.72781682,object,error_objcolor
,107,speech,,,error_objcolor
12,107,speech,0.742660284,color,white
,107,speech,,,error_object
13,107,speech,0.747689247,object,tablet
14,107,speech,0.714732885,color,indigo
,107,speech,,,error_gesture
15,107,speech,0.746211052,object,pen
17,107,speech,0.719240904,object,calculator
18,107,speech,0.710772991,object,ball
19,107,speech,0.726145029,color,green
,108,speech,,,error_gesture
,108,speech,,,error_color
0,108,speech,0.870975018,color,green
1,108,speech,0.714485168,object,soap
2,108,speech,0.759425879,object,calculator
3,108,speech,0.779896021,object,error_speech
4,108,speech,0.697404861,object,pencil case
,108,speech,,,error_gesture
5,108,speech,0.724911928,object,ball
,108,speech,,,error_speech
,108,speech,,,error_gesture
,108,speech,,,error_speech
6,108,speech,0.709047079,color,green
7,108,speech,0.69710803,object,error_object
8,108,speech,0.696228981,object,error_speech
9,108,speech,0.696642876,object,tablet
,108,speech,,,error_speech
10,108,speech,0.72970891,color,indigo
,108,speech,,,error_object
,108,speech,,,error_object
11,108,speech,0.712309837,object,ball
,108,speech,,,error_speech
,108,speech,,,error_speech
,108,speech,,,error_speech
12,108,speech,0.755472898,color,orange
,108,speech,,,error_gesture
13,108,speech,0.727973223,object,tablet
,108,speech,,,error_speech
14,108,speech,0.726256847,color,white
0,108,keys,0.848663092,color,red
1,108,keys,0.77403307,object,ornament
2,108,keys,0.759963274,object,candle
3,108,keys,0.75654912,color,red
4,108,keys,0.743891954,object,error_object
7,108,keys,0.716038942,object,box
,108,keys,,,error_gesture
8,108,keys,0.718899965,object,knife
,108,keys,,,error_gesture
9,108,keys,0.767109871,color,error_color
13,108,keys,0.756016016,object,cell phone
14,108,keys,0.752684116,object,knife
17,108,keys,0.753289938,color,error_color
18,108,keys,0.740967989,object,ornament
19,108,keys,0.750254154,object,candle
20,108,keys,0.797765732,color,red
